,s 11,s 12,s 21,s 22
1.2704,(-0.08593176305+0.1590720862j),(0.9815504551+0.1821573228j),(0.9814930558+0.1819400042j),(0.07274520397+0.1502259374j)
1.2736,(-0.09576132894+0.1667469442j),(0.9806413054+0.1839616895j),(0.9814692736+0.1832192838j),(0.08392417431+0.1449625045j)
1.2768,(-0.09155806899+0.1608769745j),(0.9814764261+0.1830245554j),(0.9814116955+0.1827001572j),(0.07911161333+0.1494813561j)
1.28,(-0.09810215235+0.1534086317j),(0.9790571928+0.1829461902j),(0.9797481298+0.1832471192j),(0.0843686834+0.1590068936j)
1.2832,(-0.09686714411+0.1551587731j),(0.979965806+0.183880657j),(0.9803088903+0.1835360974j),(0.08297455311+0.156992048j)
1.2864,(-0.1021559834+0.1510024965j),(0.9787392616+0.1840924025j),(0.979747057+0.1838350594j),(0.08790659904+0.1628517061j)
1.2896,(-0.1002798751+0.1570071578j),(0.9793905616+0.1849091202j),(0.9785252213+0.1848044246j),(0.08576985449+0.1568259001j)
1.2928,(-0.0992506817+0.1480325907j),(0.9789462686+0.1838811338j),(0.9795621634+0.1838622242j),(0.08433192968+0.1651453972j)
1.296,(-0.1029458195+0.1610599011j),(0.9792189598+0.1859105229j),(0.9787961841+0.1860825419j),(0.08951583505+0.1539810598j)
1.2992,(-0.1008010656+0.1525760293j),(0.9787586927+0.1852809489j),(0.9787708521+0.185421586j),(0.08346632123+0.1620680094j)
1.3024,(-0.09548031539+0.1514236033j),(0.9793711901+0.1852769852j),(0.978935957+0.1849572212j),(0.07918196917+0.1621798724j)
1.3056,(-0.09101965278+0.1566874236j),(0.9804121256+0.1863489002j),(0.9803206325+0.1858576238j),(0.0767980516+0.1574796289j)
1.3088,(-0.09643439949+0.1548743695j),(0.979886055+0.1856080592j),(0.978836894+0.1861273944j),(0.08104205132+0.160226047j)
1.312,(-0.09943450987+0.15764606j),(0.9785747528+0.1872217655j),(0.9786676764+0.1873371899j),(0.08350692689+0.1578500122j)
1.3152,(-0.09281928837+0.1554476917j),(0.9797741771+0.1871104687j),(0.9795765281+0.1871104985j),(0.07807295024+0.1597357392j)
1.3184,(-0.0933380127+0.1600076407j),(0.9792090654+0.1880913973j),(0.9802442789+0.1872562468j),(0.07787416875+0.1555596143j)
1.3216,(-0.0927439481+0.1581154615j),(0.9796220064+0.1873311102j),(0.9791815281+0.1872778535j),(0.07709186524+0.1578596532j)
1.3248,(-0.09769946337+0.1662008166j),(0.9792101979+0.1896552891j),(0.9803386331+0.1892199665j),(0.0826779902+0.1508170962j)
1.328,(-0.09374617785+0.1605975032j),(0.9797056913+0.1885596514j),(0.9799894094+0.1888905466j),(0.07655546814+0.1556893587j)
1.3312,(-0.09981411695+0.1644766331j),(0.9788897634+0.1904653609j),(0.9791206121+0.1897570789j),(0.08432331681+0.1538217217j)
1.3344,(-0.1018231288+0.1550597996j),(0.9775975347+0.1894079447j),(0.9779891372+0.1891146302j),(0.08397598565+0.1633386463j)
1.3376,(-0.09800907224+0.1552330852j),(0.9784777164+0.1900123358j),(0.978930831+0.1897782981j),(0.08027203381+0.1640495211j)
1.3408,(-0.1056664139+0.1572786868j),(0.9772282243+0.1909776926j),(0.9780578613+0.1908850968j),(0.08558021486+0.1605218947j)
1.344,(-0.1055313945+0.1579042822j),(0.9769260287+0.1906722933j),(0.9776415229+0.1905029565j),(0.08557203412+0.161437884j)
1.3472,(-0.1050239727+0.159083277j),(0.9768586755+0.1920834482j),(0.9776913524+0.1910249293j),(0.08584390581+0.1612850875j)
1.3504,(-0.1078148633+0.1572954357j),(0.9769141674+0.1922217011j),(0.9772571325+0.1915000677j),(0.08867316693+0.1632225364j)
1.3536,(-0.111511074+0.1537166089j),(0.9761878848+0.1924769729j),(0.976292491+0.1912347674j),(0.09133067727+0.1669265032j)
1.3568,(-0.1004343629+0.1611659229j),(0.9775868654+0.1932660341j),(0.9790304899+0.1931333542j),(0.08237101138+0.158976689j)
1.36,(-0.1073322743+0.1589818895j),(0.9761945009+0.1935850978j),(0.9770467281+0.1929713488j),(0.08757477254+0.1618670076j)
1.3632,(-0.1033892483+0.1518038362j),(0.9764398336+0.1932518482j),(0.9772134423+0.1920265555j),(0.08302555978+0.1691040993j)
