,s 11,s 12,s 21,s 22
1.2224,(0.0006671585143+0.01412227657j),(1.001646638+0.003449559212j),(1.001418829+0.003237515688j),(0.01759709977-0.01093217917j)
1.2256,(-0.003234732896+0.009385528043j),(1.001201272+0.003782726824j),(1.001927018+0.003266461194j),(0.02253672294-0.007471833378j)
1.2288,(-0.0009067067876+0.009263237007j),(1.001465201+0.003704160452j),(1.001655102+0.002657860518j),(0.01994577982-0.006363573484j)
1.232,(0.0002756745089+0.008239435963j),(1.001780033+0.003515124321j),(1.001684308+0.003177583218j),(0.01932421885-0.004273076542j)
1.2352,(0.002639066195+0.01246321853j),(1.001913548+0.003532290459j),(1.001825333+0.003367334604j),(0.01636941917-0.009877718054j)
1.2384,(0.008968926966+0.01113237813j),(1.001304746+0.003534734249j),(1.002988696+0.003639429808j),(0.01249708794-0.008008114994j)
1.2416,(0.003441517474+0.01167139132j),(1.001897097+0.00317285955j),(1.002296329+0.0034802109j),(0.01530298963-0.008494001813j)
1.2448,(0.005788995884+0.000533142651j),(1.001095295+0.003326639533j),(1.001375675+0.002167135477j),(0.01365184784+0.0008023239207j)
1.248,(0.004440526478+0.01167527121j),(1.001581192+0.003613054752j),(1.002506495+0.003388732672j),(0.01500461996-0.008830024861j)
1.2512,(0.005901931785+0.01090253331j),(1.001705408+0.003722779453j),(1.002227664+0.003203690052j),(0.01363454014-0.00910268072j)
1.2544,(0.01138321124+0.008881125599j),(1.001428843+0.003778338432j),(1.001768231+0.002315014601j),(0.007921447977-0.006772874389j)
1.2576,(0.0100897206+0.01897755824j),(1.001704693+0.003016084433j),(1.002928972+0.002170622349j),(0.009355592541-0.01745988801j)
1.2608,(0.006478590425+0.005252724048j),(1.001619697+0.003453692421j),(1.001710176+0.00369846914j),(0.01266274974-0.003506900044j)
1.264,(2.863816917e-05+0.01552010141j),(1.00201261+0.003502756357j),(1.002265692+0.004141300917j),(0.01856421493-0.01400780864j)
1.2672,(0.001189007424+0.007443166804j),(1.00174427+0.003884613514j),(1.001733661+0.004156827927j),(0.01824008301-0.005339893978j)
1.2704,(0.008899457753+0.01429422945j),(1.002097845+0.003466054797j),(1.002004027+0.003391519189j),(0.009572708979-0.01258846279j)
1.2736,(0.0003683567047+0.02283646539j),(1.001720905+0.003753572702j),(1.00251925+0.003029569983j),(0.01884561032-0.02075249143j)
1.2768,(0.004167525563+0.01624146663j),(1.002334595+0.003182172775j),(1.002159357+0.003133654594j),(0.01472446136-0.01534289494j)
1.28,(-0.002689168323+0.009522793815j),(1.001062632+0.003496050835j),(1.001839638+0.003693848848j),(0.02205447666-0.007541083265j)
1.2832,(-0.0008016172214+0.01086177304j),(1.00178504+0.003827676177j),(1.002222061+0.003509160131j),(0.01976465993-0.009423991665j)
1.2864,(-0.006279934663+0.007085080724j),(1.0017066+0.004131823778j),(1.002641916+0.003448545933j),(0.0258631371-0.005373960361j)
1.2896,(-0.003176978324+0.01252231933j),(1.001977921+0.003927528858j),(1.00107646+0.003956109285j),(0.02203388512-0.01079619676j)
1.2928,(-0.002820267342+0.003174726386j),(1.001517773+0.003727287054j),(1.002202749+0.003171920776j),(0.02223455347-0.002244903939j)
1.296,(-0.004510671832+0.01633907109j),(1.001712918+0.003579080105j),(1.001339316+0.003689140081j),(0.02424407378-0.01493778266j)
1.2992,(-0.002692701528+0.007440217771j),(1.001768589+0.004116982222j),(1.00168252+0.004029542208j),(0.02027577162-0.005805168767j)
1.3024,(0.002797745168+0.005524481181j),(1.001982093+0.003950059414j),(1.001678944+0.003444850445j),(0.01569057442-0.004806707613j)
1.3056,(0.008341971785+0.009800425731j),(1.002264977+0.004079043865j),(1.002442241+0.003789963201j),(0.0115773771-0.008803057484j)
1.3088,(0.002993299393+0.008505511098j),(1.002229333+0.003285169601j),(1.001656771+0.003718584776j),(0.0161777623-0.007406018209j)
1.312,(0.0009637754411+0.01165385451j),(1.001324892+0.004341214895j),(1.001554847+0.004267990589j),(0.01775247417-0.01076190639j)
1.3152,(0.007628483698+0.008419774473j),(1.001772046+0.004094444215j),(1.002027869+0.0041898489j),(0.01229127217-0.007741569541j)
1.3184,(0.008205825463+0.01275362913j),(1.001677155+0.004482299089j),(1.002466917+0.003447771072j),(0.01088422816-0.01216144394j)
1.3216,(0.009052596986+0.01066204626j),(1.00169301+0.003682374954j),(1.001729369+0.003491163254j),(0.01010377239-0.009855363518j)
1.3248,(0.005626007449+0.01888820529j),(1.001610279+0.004072278738j),(1.002820969+0.003498733044j),(0.01360433176-0.01876629144j)
1.328,(0.009415363893+0.01288522221j),(1.002104163+0.003653913736j),(1.002659678+0.004126131535j),(0.008448243141-0.01242826786j)
1.3312,(0.004412700422+0.01726267114j),(1.001925588+0.004335224628j),(1.002486587+0.003891348839j),(0.0152573958-0.01650119759j)
1.3344,(0.001590548432+0.008092476986j),(1.001623988+0.003955364227j),(1.002155542+0.003775030375j),(0.01701428927-0.007344997022j)
1.3376,(0.006098834332+0.007405632176j),(1.0023247+0.004266098142j),(1.00290072+0.004067465663j),(0.01308996323-0.0060031428j)
1.3408,(-0.0008352394216+0.01033032406j),(1.001281977+0.00438734889j),(1.002072334+0.004503935575j),(0.01731660217-0.01096519269j)
1.344,(-0.0002512237988+0.01075647119j),(1.001397848+0.00350278616j),(1.001907587+0.003582775593j),(0.01710451394-0.01051198132j)
1.3472,(0.0008728315588+0.01155264769j),(1.001371026+0.004582986236j),(1.002224803+0.00351716578j),(0.01681682654-0.01100621559j)
1.3504,(-0.001657348126+0.01002889127j),(1.001866698+0.004351317883j),(1.001819134+0.00388777256j),(0.01985219866-0.009836221114j)
