,s 11,s 12,s 21,s 22
1.3216,(-0.08807198703+0.1613902301j),(0.9807921052+0.1891072392j),(0.9805619717+0.1886755228j),(0.06981610507+0.162967518j)
1.3248,(-0.09320107102+0.1692339629j),(0.9803866148+0.1914549768j),(0.9814248681+0.1906931996j),(0.07522505522+0.1558873206j)
1.328,(-0.08919072896+0.1638534516j),(0.9808214903+0.1901338995j),(0.9811725616+0.1906443834j),(0.06906846166+0.1607598364j)
1.3312,(-0.09523797035+0.1676501334j),(0.9800343513+0.1920288801j),(0.9804954529+0.1914317012j),(0.07696858048+0.1589152664j)
1.3344,(-0.09727312624+0.1583089978j),(0.9789614677+0.1912794262j),(0.979346633+0.1910785735j),(0.07653788477+0.1684412062j)
1.3376,(-0.09337507933+0.158526063j),(0.9798064828+0.1915593445j),(0.9800882339+0.1916125119j),(0.07271822542+0.1691451222j)
1.3408,(-0.1010356098+0.1603561342j),(0.9784184694+0.1926014721j),(0.979139328+0.1925276816j),(0.07806515694+0.1656123698j)
1.344,(-0.1007495299+0.1610830873j),(0.9781939983+0.1923734248j),(0.9788388014+0.1922200024j),(0.07819316536+0.1665632874j)
1.3472,(-0.1003895253+0.1622330397j),(0.9779757261+0.1937391758j),(0.97891289+0.1927568913j),(0.07831890881+0.1663820744j)
1.3504,(-0.1031177863+0.1605293453j),(0.9781162739+0.1939356327j),(0.9783885479+0.1932190061j),(0.08122801781+0.1683724821j)
1.3536,(-0.1067874953+0.1569853276j),(0.9775233865+0.1941522658j),(0.9775905609+0.1929328442j),(0.08372231573+0.1720312834j)
1.3568,(-0.09572391212+0.1646010429j),(0.9786219597+0.1949153543j),(0.9801434278+0.1945892274j),(0.07487376779+0.1641577631j)
1.36,(-0.1026425958+0.1624713838j),(0.9775403738+0.1953952909j),(0.9786378145+0.1946485937j),(0.07999897003+0.1670975983j)
1.3632,(-0.09859798104+0.1551834792j),(0.9775848985+0.1950149834j),(0.9785023928+0.1938937008j),(0.07543119043+0.1743222028j)
