,s 11,s 12,s 21,s 22
1.232,(-0.07412555814+0.1371572316j),(0.9840502143+0.1607514024j),(0.9841686487+0.1600453407j),(0.06787414849+0.1393950582j)
1.2352,(-0.07266165316+0.1417431384j),(0.9848021865+0.1609662175j),(0.9845110178+0.1607115269j),(0.06646950543+0.1334900409j)
1.2384,(-0.06661553681+0.1412008554j),(0.9845290184+0.1614841223j),(0.9858897924+0.1615058482j),(0.06259719282+0.1347878724j)
1.2416,(-0.07254137099+0.1412514746j),(0.9844726324+0.1613277346j),(0.9847827554+0.1615582407j),(0.0654630065+0.1352694035j)
1.2448,(-0.06923230737+0.1304964423j),(0.9834523797+0.1611273587j),(0.9842717648+0.1592852771j),(0.0619738996+0.1439247429j)
1.248,(-0.07230219245+0.1415189058j),(0.9841030836+0.1624334753j),(0.9850543141+0.1619966328j),(0.06559550017+0.1353655159j)
1.2512,(-0.07105721533+0.1412838995j),(0.9843803048+0.1626679152j),(0.9849358201+0.1620766222j),(0.06458008289+0.135118857j)
1.2544,(-0.06558406353+0.1399915665j),(0.9842998981+0.1628211737j),(0.9849852324+0.1609265208j),(0.05874934793+0.1365837306j)
1.2576,(-0.06816494465+0.1502840519j),(0.9849025607+0.1629432291j),(0.9864874482+0.1623941064j),(0.06276842952+0.126908496j)
1.2608,(-0.07084131986+0.1362230778j),(0.9838802814+0.1630110741j),(0.9836366773+0.1627827287j),(0.06293231994+0.1413564235j)
1.264,(-0.07857085019+0.1457543522j),(0.9839740992+0.1643310487j),(0.9840914011+0.1646689475j),(0.07115256786+0.1331000924j)
1.2672,(-0.07708021998+0.1384168565j),(0.9835187197+0.1643310785j),(0.9833680987+0.164496243j),(0.0692518875+0.1419061869j)
1.2704,(-0.07040411234+0.1462222934j),(0.9843477607+0.1645407677j),(0.9844432473+0.1642983556j),(0.06269329041+0.133244276j)
1.2736,(-0.08011491597+0.1540631503j),(0.9839196205+0.1663389206j),(0.9844228029+0.1654289663j),(0.07362666726+0.1277471185j)
1.2768,(-0.07587471604+0.1482114345j),(0.9843199849+0.1653266549j),(0.9840862751+0.1649881005j),(0.06880946457+0.1322911531j)
1.28,(-0.08242108673+0.1408758312j),(0.9822836518+0.1653927416j),(0.9830063581+0.1657527536j),(0.07438126951+0.1417821348j)
1.2832,(-0.08104044199+0.1425247639j),(0.9830126166+0.1661532521j),(0.9833005667+0.166051209j),(0.0727679804+0.139741838j)
1.2864,(-0.08649415523+0.1384485364j),(0.9820002317+0.1667592227j),(0.9827043414+0.1661425531j),(0.07792004198+0.1453873068j)
1.2896,(-0.08448138833+0.1443852782j),(0.9826738834+0.1672133505j),(0.9818259478+0.1669951826j),(0.07556851208+0.1394368559j)
1.2928,(-0.0834338516+0.1354772747j),(0.981993854+0.1664512157j),(0.982873857+0.1664966941j),(0.07424289733+0.1478642374j)
1.296,(-0.08698683232+0.1486068517j),(0.9826247096+0.1679550111j),(0.9820128083+0.1678039432j),(0.07921284437+0.1364848912j)
1.2992,(-0.08470440656+0.1399399787j),(0.9819161892+0.1678126454j),(0.9819557667+0.1675343812j),(0.07328761369+0.1446931213j)
1.3024,(-0.07938854396+0.1388819963j),(0.9826185703+0.1678143144j),(0.9823686481+0.1670408249j),(0.06886707991+0.1449390501j)
1.3056,(-0.07482104748+0.1441616863j),(0.9836611748+0.168399334j),(0.9836075902+0.1680268794j),(0.06630086899+0.1404318511j)
1.3088,(-0.08020517975+0.1423207074j),(0.9833067656+0.167878747j),(0.9821499586+0.1681168675j),(0.07071904838+0.14296709j)
1.312,(-0.08308303356+0.1451685131j),(0.9818814993+0.1692029536j),(0.9820532799+0.16923666j),(0.07310840487+0.1404658556j)
1.3152,(-0.07651117444+0.1429310441j),(0.9828583598+0.1692337841j),(0.9826928973+0.1688539386j),(0.06761543453+0.1424046457j)
1.3184,(-0.07681728899+0.147480607j),(0.9825316668+0.1701489091j),(0.9834388494+0.1689624786j),(0.06730931997+0.1382430196j)
1.3216,(-0.07618561387+0.1456602365j),(0.9827513099+0.1695510149j),(0.9823477268+0.1689816117j),(0.06638456136+0.140639931j)
1.3248,(-0.08100238442+0.1535605043j),(0.9824847579+0.1715346873j),(0.9834271073+0.1707509458j),(0.07180622965+0.1332778335j)
1.328,(-0.07714608312+0.1481288075j),(0.983112514+0.1706436872j),(0.9832028747+0.170860976j),(0.06570059061+0.1384332478j)
1.3312,(-0.08296740055+0.151985392j),(0.982281208+0.1724231541j),(0.9825282097+0.1717094779j),(0.07342478633+0.1363413185j)
1.3344,(-0.08509707451+0.1427405477j),(0.9812678695+0.1716179252j),(0.9814711809+0.1710532606j),(0.07325451821+0.1457708478j)
1.3376,(-0.08113982528+0.1427097172j),(0.9820055962+0.1722480357j),(0.9823422432+0.1716904044j),(0.06947492063+0.1464870274j)
1.3408,(-0.08870598674+0.144797653j),(0.9805597067+0.172813803j),(0.9816017151+0.1726540327j),(0.07474001497+0.1428792924j)
1.344,(-0.088542521+0.145579502j),(0.9805659652+0.1725751758j),(0.9812130332+0.1721256673j),(0.07478804141+0.143614307j)
1.3472,(-0.08790743351+0.1464726478j),(0.9803894162+0.174069792j),(0.981366396+0.1727877259j),(0.07487371564+0.1435049623j)
1.3504,(-0.09076231718+0.1448961794j),(0.9803313613+0.174172312j),(0.980884254+0.1733813584j),(0.07777812332+0.1454100013j)
1.3536,(-0.09441511333+0.1413423717j),(0.9800391197+0.1744661182j),(0.9798840284+0.1731377244j),(0.08042109013+0.1489732563j)
1.3568,(-0.08316799998+0.1488096565j),(0.9808847308+0.1750309914j),(0.9822534919+0.174466908j),(0.0712287277+0.1412135959j)
1.36,(-0.09008297324+0.1466613859j),(0.9799348116+0.1754854321j),(0.9808290005+0.1744301617j),(0.0764278248+0.1440784931j)
1.3632,(-0.08602884412+0.1393999606j),(0.9798127413+0.1751372367j),(0.980790019+0.1738723963j),(0.0720679909+0.1514118761j)
1.3664,(-0.08836963773+0.1446959078j),(0.9800967574+0.1750529408j),(0.980944097+0.1745561957j),(0.07396182418+0.1463253498j)
1.3696,(-0.08653666824+0.1472261846j),(0.9801476598+0.1762524843j),(0.9804501534+0.1753495038j),(0.07356868684+0.1441074014j)
1.3728,(-0.0827666223+0.1438137293j),(0.980343461+0.1759457886j),(0.9812389016+0.174909234j),(0.06880369782+0.1478066742j)
1.376,(-0.08737640828+0.1475526243j),(0.9803735018+0.1765467823j),(0.980853796+0.1759057641j),(0.07309465855+0.1457255036j)
1.3792,(-0.08744232357+0.1454938501j),(0.9801713228+0.1769769788j),(0.9812240601+0.1761643589j),(0.07312504202+0.1465291828j)
1.3824,(-0.082866624+0.1472294331j),(0.9802778959+0.1770215929j),(0.9815360308+0.1761265099j),(0.06965757906+0.1459943056j)
1.3856,(-0.08412003517+0.1495326012j),(0.980838716+0.1782687157j),(0.9815074801+0.1771016121j),(0.07020043582+0.1420671195j)
1.3888,(-0.08925255388+0.1510745287j),(0.9801325798+0.1786123365j),(0.9807758927+0.17726928j),(0.07473555952+0.1427302659j)
1.392,(-0.08779117465+0.1486881822j),(0.9808495045+0.1787325144j),(0.9809542894+0.1773864627j),(0.07379015535+0.1452916116j)
1.3952,(-0.09271016717+0.1484644115j),(0.9798679352+0.1792672575j),(0.9809074402+0.1777787209j),(0.07688006759+0.1462198645j)
1.3984,(-0.08753086627+0.153533563j),(0.9798766971+0.1802266687j),(0.980556488+0.1782009006j),(0.07313010097+0.1425266117j)
1.4016,(-0.092756778+0.1578311622j),(0.9801067114+0.181040585j),(0.9810986519+0.1788460314j),(0.07891528308+0.1381250471j)
1.4048,(-0.09456014633+0.1548902988j),(0.979632318+0.1805305183j),(0.9803283215+0.1795112491j),(0.07905173302+0.142551288j)
1.408,(-0.096190162+0.1522603929j),(0.9785628319+0.1806466281j),(0.9800365567+0.1792920083j),(0.07948911935+0.1459817439j)
1.4112,(-0.0908690542+0.1548554152j),(0.9797971249+0.1813500822j),(0.9805070162+0.1801513135j),(0.07461975515+0.1422852576j)
1.4144,(-0.09585316479+0.1544743925j),(0.9794595242+0.1817154288j),(0.9798134565+0.1801377833j),(0.08043031394+0.1430166513j)
1.4176,(-0.09867370874+0.1506944895j),(0.9787231088+0.1820863783j),(0.9792482853+0.1805294305j),(0.08256180584+0.1479533762j)
1.4208,(-0.1007008851+0.1532348841j),(0.9787008166+0.182829082j),(0.9795722365+0.1812626719j),(0.08280205727+0.1446223408j)
1.424,(-0.09483300149+0.1509359926j),(0.9788408279+0.1825193167j),(0.9793293476+0.1813409328j),(0.07833377272+0.1480202526j)
1.4272,(-0.09902469814+0.1489337087j),(0.9781176448+0.1826746315j),(0.9784411192+0.1808412075j),(0.08117929101+0.1507723778j)
1.4304,(-0.09636639059+0.1501645595j),(0.9781631827+0.1824278086j),(0.9790759683+0.1812631488j),(0.0789988637+0.1499578506j)
