Frequency,S11,S21
2.2654,(-38.5300749864809-123.800174518433j),(-38.5300749864809-123.800174518433j)
2.2671,(-38.6220957782816-125.173699790409j),(-38.6220957782816-125.173699790409j)
2.2688,(-38.7000388513745-126.581407357779j),(-38.7000388513745-126.581407357779j)
2.2705,(-38.7867626003337-127.691229964114j),(-38.7867626003337-127.691229964114j)
2.2722,(-38.9493805748596-127.954914426835j),(-38.9493805748596-127.954914426835j)
2.2739,(-39.1514562372945-127.775506302366j),(-39.1514562372945-127.775506302366j)
2.2756,(-39.3429320271135-127.729130985066j),(-39.3429320271135-127.729130985066j)
2.2773,(-39.4950013964661-127.931916774706j),(-39.4950013964661-127.931916774706j)
2.279,(-39.5351903437383-128.515789933749j),(-39.5351903437383-128.515789933749j)
2.2807,(-39.4204460611244-129.408909709918j),(-39.4204460611244-129.408909709918j)
2.2824,(-39.1245432984142-130.150212325192j),(-39.1245432984142-130.150212325192j)
2.2841,(-38.720752749865-130.326441845205j),(-38.720752749865-130.326441845205j)
2.2858,(-38.3600552837717-129.63431738797j),(-38.3600552837717-129.63431738797j)
2.2875,(-38.1117410819471-128.589479745899j),(-38.1117410819471-128.589479745899j)
2.2892,(-37.9779787385277-127.482956392221j),(-37.9779787385277-127.482956392221j)
2.2909,(-37.8255372477871-126.611789106332j),(-37.8255372477871-126.611789106332j)
2.2926,(-37.6609010387929-126.056565122907j),(-37.6609010387929-126.056565122907j)
2.2943,(-37.5255742435319-125.904137442097j),(-37.5255742435319-125.904137442097j)
2.296,(-37.3825376534573-125.968187239166j),(-37.3825376534573-125.968187239166j)
2.2977,(-37.2493220235882-126.03356359059j),(-37.2493220235882-126.03356359059j)
2.2994,(-37.1078762658019-126.267165685582j),(-37.1078762658019-126.267165685582j)
2.3011,(-36.992086115074-126.523201162554j),(-36.992086115074-126.523201162554j)
2.3028,(-36.8891525379737-126.949833107451j),(-36.8891525379737-126.949833107451j)
2.3045,(-36.8089563813997-127.434519606707j),(-36.8089563813997-127.434519606707j)
2.3062,(-36.7596346323438-128.159058008173j),(-36.7596346323438-128.159058008173j)
2.3079,(-36.7555544493849-128.882277251841j),(-36.7555544493849-128.882277251841j)
2.3096,(-36.7843312549432-129.797494783706j),(-36.7843312549432-129.797494783706j)
2.3113,(-36.8676174655135-130.839108178267j),(-36.8676174655135-130.839108178267j)
2.313,(-36.9554322210997-131.997037719409j),(-36.9554322210997-131.997037719409j)
2.3147,(-37.1115471017628-133.24352965132j),(-37.1115471017628-133.24352965132j)
2.3164,(-37.3111917230009-134.504100736352j),(-37.3111917230009-134.504100736352j)
2.3181,(-37.5044892699869-135.437814226264j),(-37.5044892699869-135.437814226264j)
2.3198,(-37.619430717278-136.087018820246j),(-37.619430717278-136.087018820246j)
2.3215,(-37.7356823728023-136.497510874095j),(-37.7356823728023-136.497510874095j)
2.3232,(-37.8331451791604-136.843201704263j),(-37.8331451791604-136.843201704263j)
2.3249,(-37.9275840987797-136.982518534412j),(-37.9275840987797-136.982518534412j)
2.3266,(-37.996438626661-137.059279315612j),(-37.996438626661-137.059279315612j)
2.3283,(-38.0542899889551-136.939083537245j),(-38.0542899889551-136.939083537245j)
2.33,(-38.1030629356191-136.724041773374j),(-38.1030629356191-136.724041773374j)
2.3317,(-38.0976331297616-136.330118091479j),(-38.0976331297616-136.330118091479j)
2.3334,(-38.0703358338115-135.902427572024j),(-38.0703358338115-135.902427572024j)
2.3351,(-38.0418329549629-135.53288803448j),(-38.0418329549629-135.53288803448j)
2.3368,(-37.9675867895683-135.069031319445j),(-37.9675867895683-135.069031319445j)
2.3385,(-37.8932603271496-134.662584107777j),(-37.8932603271496-134.662584107777j)
2.3402,(-37.7552129977981-134.191156289318j),(-37.7552129977981-134.191156289318j)
2.3419,(-37.599604200856-133.780584276231j),(-37.599604200856-133.780584276231j)
2.3436,(-37.4398624937378-133.626531832302j),(-37.4398624937378-133.626531832302j)
2.3453,(-37.3421166922502-133.581374582188j),(-37.3421166922502-133.581374582188j)
2.347,(-37.249291412496-133.541373693849j),(-37.249291412496-133.541373693849j)
2.3487,(-37.191528916665-133.474821690308j),(-37.191528916665-133.474821690308j)
2.3504,(-37.1383242062224-133.640403571403j),(-37.1383242062224-133.640403571403j)
2.3521,(-37.0984138069004-133.819576639712j),(-37.0984138069004-133.819576639712j)
2.3538,(-37.0614495079773-134.112772933762j),(-37.0614495079773-134.112772933762j)
2.3555,(-37.0439694718334-134.552598663549j),(-37.0439694718334-134.552598663549j)
2.3572,(-37.0516892270139-134.990879877351j),(-37.0516892270139-134.990879877351j)
2.3589,(-37.0693948876574-135.619240493614j),(-37.0693948876574-135.619240493614j)
2.3606,(-37.0820706163575-136.208039588533j),(-37.0820706163575-136.208039588533j)
2.3623,(-37.1100264915417-136.846855187448j),(-37.1100264915417-136.846855187448j)
2.364,(-37.1431117964433-137.42642223214j),(-37.1431117964433-137.42642223214j)
2.3657,(-37.204963154388-137.895573762002j),(-37.204963154388-137.895573762002j)
2.3674,(-37.2606526270323-138.317163104284j),(-37.2606526270323-138.317163104284j)
2.3691,(-37.3444106946603-138.639235883278j),(-37.3444106946603-138.639235883278j)
2.3708,(-37.3983122712829-138.743473028761j),(-37.3983122712829-138.743473028761j)
2.3725,(-37.4717989837595-138.73124705917j),(-37.4717989837595-138.73124705917j)
2.3742,(-37.5229963186815-138.718401173598j),(-37.5229963186815-138.718401173598j)
2.3759,(-37.5655221972559-138.48045445445j),(-37.5655221972559-138.48045445445j)
2.3776,(-37.6024255513636-138.17822118191j),(-37.6024255513636-138.17822118191j)
2.3793,(-37.6382823546632-137.769045886554j),(-37.6382823546632-137.769045886554j)
2.381,(-37.6412619560742-137.300784961363j),(-37.6412619560742-137.300784961363j)
2.3827,(-37.6421270099112-136.823058357803j),(-37.6421270099112-136.823058357803j)
2.3844,(-37.6255849639106-136.119689115777j),(-37.6255849639106-136.119689115777j)
2.3861,(-37.594027319379-135.389420614836j),(-37.594027319379-135.389420614836j)
2.3878,(-37.5363512542468-134.628780795198j),(-37.5363512542468-134.628780795198j)
2.3895,(-37.4868679270075-133.729225961821j),(-37.4868679270075-133.729225961821j)
2.3912,(-37.4515017997377-132.790987411736j),(-37.4515017997377-132.790987411736j)
2.3929,(-37.4169093195166-131.827527540218j),(-37.4169093195166-131.827527540218j)
2.3946,(-37.3792593101899-130.927801802998j),(-37.3792593101899-130.927801802998j)
2.3963,(-37.3604886223343-129.977279068681j),(-37.3604886223343-129.977279068681j)
2.398,(-37.3383908285535-129.054671644766j),(-37.3383908285535-129.054671644766j)
2.3997,(-37.3159981966157-128.132872046581j),(-37.3159981966157-128.132872046581j)
2.4014,(-37.312382392613-127.368319264493j),(-37.312382392613-127.368319264493j)
2.4031,(-37.3253949503976-126.509336502733j),(-37.3253949503976-126.509336502733j)
2.4048,(-37.3613464145776-125.741617808638j),(-37.3613464145776-125.741617808638j)
2.4065,(-37.4169965965127-124.953558845753j),(-37.4169965965127-124.953558845753j)
2.4082,(-37.4865453228726-124.252215309778j),(-37.4865453228726-124.252215309778j)
2.4099,(-37.5747546222437-123.653044792264j),(-37.5747546222437-123.653044792264j)
2.4116,(-37.682852490149-123.046062671235j),(-37.682852490149-123.046062671235j)
2.4133,(-37.8100444978455-122.674112382119j),(-37.8100444978455-122.674112382119j)
2.415,(-37.9266590382666-122.668982267355j),(-37.9266590382666-122.668982267355j)
2.4167,(-38.0031996156149-123.081810306313j),(-38.0031996156149-123.081810306313j)
2.4184,(-38.0579626652596-123.669534784975j),(-38.0579626652596-123.669534784975j)
2.4201,(-38.0960361794259-124.484735721398j),(-38.0960361794259-124.484735721398j)
2.4218,(-38.1132950761419-125.551207021157j),(-38.1132950761419-125.551207021157j)
2.4235,(-38.0970387605499-126.799906472849j),(-38.0970387605499-126.799906472849j)
2.4252,(-38.0849864959558-128.061424490762j),(-38.0849864959558-128.061424490762j)
2.4269,(-38.0795199645566-129.214635633119j),(-38.0795199645566-129.214635633119j)
2.4286,(-38.0461228040616-130.521839674142j),(-38.0461228040616-130.521839674142j)
2.4303,(-37.9932915932478-131.853828378054j),(-37.9932915932478-131.853828378054j)
2.432,(-37.9432161960792-133.175851367931j),(-37.9432161960792-133.175851367931j)
2.4337,(-37.8838352696891-134.539600391907j),(-37.8838352696891-134.539600391907j)
2.4354,(-37.7974972480347-135.845693724401j),(-37.7974972480347-135.845693724401j)
2.4371,(-37.735836536998-137.298582363266j),(-37.735836536998-137.298582363266j)
2.4388,(-37.7247383791945-138.823005144114j),(-37.7247383791945-138.823005144114j)
2.4405,(-37.749711775147-140.310159380174j),(-37.749711775147-140.310159380174j)
