Frequency,S11 Re,S11 Im,S21 Re,S21 Im
1.74788,-0.1923713982,-0.3013166487,0.898598969,-0.2497157007
1.74806,-0.1924412847,-0.3012464941,0.8986642361,-0.2496882528
1.74824,-0.1924673021,-0.3012614846,0.8987691998,-0.2497732341
1.74842,-0.1925985366,-0.3013125062,0.898904264,-0.2497443855
1.7486,-0.1926037371,-0.3013804257,0.8990080357,-0.2497875988
1.74878,-0.1924951971,-0.3012340367,0.8987338543,-0.2496512532
1.74896,-0.1926175356,-0.3011899292,0.8988817334,-0.2498900443
1.74914,-0.1926592141,-0.3011678159,0.8989745975,-0.2500157356
1.74932,-0.1927108765,-0.301194787,0.8989085555,-0.250032872
1.7495,-0.1927356571,-0.3012166619,0.8987717032,-0.2499037385
1.74968,-0.1928569227,-0.3013274372,0.8987320662,-0.2499571592
1.74986,-0.1929123402,-0.3012642264,0.8987756968,-0.2497546971
1.75004,-0.192925483,-0.3013685644,0.8988425732,-0.2498718649
1.75022,-0.1929482222,-0.301338762,0.8989000916,-0.2497972995
1.7504,-0.1930686086,-0.3012275994,0.8988986611,-0.2497521341
1.75058,-0.192986384,-0.30122298,0.8988021612,-0.2498730421
1.75076,-0.1931272149,-0.3011412024,0.8986929059,-0.2499058545
1.75094,-0.1930146217,-0.3011273444,0.8985651731,-0.2498311847
1.75112,-0.1931337714,-0.3012296259,0.8986976743,-0.2497985363
1.7513,-0.1931777894,-0.3013169467,0.8987184763,-0.2498982698
1.75148,-0.193116039,-0.3012414277,0.8986808658,-0.2498807162
1.75166,-0.1931644678,-0.301392287,0.8986606598,-0.2499051541
1.75184,-0.1933115274,-0.3014030457,0.8987717628,-0.2500686944
1.75202,-0.1933958828,-0.3014181256,0.8986403942,-0.2502152622
1.7522,-0.1934736222,-0.3013174236,0.8986367583,-0.2500475049
1.75238,-0.1935216784,-0.3014006615,0.8985470533,-0.2501699924
1.75256,-0.1934156418,-0.3012369275,0.8986103535,-0.2500537038
1.75274,-0.1933551729,-0.3011687398,0.8986412883,-0.2500275671
1.75292,-0.1934197992,-0.3012177944,0.8986540437,-0.2502084374
1.7531,-0.1934311688,-0.3011815846,0.8986519575,-0.2502281368
1.75328,-0.1934793442,-0.3013447225,0.8987803459,-0.2500801086
1.75346,-0.1935413182,-0.3012597561,0.898632288,-0.2501689792
1.75364,-0.1936414987,-0.3013906479,0.8985489011,-0.2501686215
1.75382,-0.1936643124,-0.3012953699,0.8985609412,-0.2502116859
1.754,-0.1937199086,-0.3013995886,0.8985551,-0.2502494156
1.75418,-0.1938797235,-0.301309824,0.8985597491,-0.2502049208
1.75436,-0.1938674599,-0.3013040125,0.8985803723,-0.2502336502
1.75454,-0.1939370185,-0.3013431132,0.8985415697,-0.2502978742
