Frequency,S11,S21
1.75184,(-0.01293978281+0.002519549802j),(-0.01293978281+0.002519549802j)
1.75202,(-0.01298989169+0.002559246728j),(-0.01298989169+0.002559246728j)
1.7522,(-0.0130083384+0.00240951241j),(-0.0130083384+0.00240951241j)
1.75238,(-0.01308845542+0.002490802668j),(-0.01308845542+0.002490802668j)
1.75256,(-0.01308627147+0.002623566426j),(-0.01308627147+0.002623566426j)
1.75274,(-0.01306684874+0.002712313086j),(-0.01306684874+0.002712313086j)
1.75292,(-0.01302764658+0.002868012991j),(-0.01302764658+0.002868012991j)
1.7531,(-0.01302311383+0.002918443643j),(-0.01302311383+0.002918443643j)
1.75328,(-0.01301050838+0.002776145004j),(-0.01301050838+0.002776145004j)
1.75346,(-0.01307018101+0.002761818934j),(-0.01307018101+0.002761818934j)
1.75364,(-0.01311363466+0.002707729582j),(-0.01311363466+0.002707729582j)
1.75382,(-0.01321974397+0.002733962378j),(-0.01321974397+0.002733962378j)
1.754,(-0.01326458994+0.002669094829j),(-0.01326458994+0.002669094829j)
1.75418,(-0.013283493+0.002704839222j),(-0.013283493+0.002704839222j)
1.75436,(-0.01336655673+0.002690556226j),(-0.01336655673+0.002690556226j)
1.75454,(-0.01330197137+0.002826744691j),(-0.01330197137+0.002826744691j)
1.75472,(-0.01341672335+0.002895347774j),(-0.01341672335+0.002895347774j)
1.7549,(-0.01344618853+0.002961266553j),(-0.01344618853+0.002961266553j)
1.75508,(-0.01332975924+0.002973146038j),(-0.01332975924+0.002973146038j)
1.75526,(-0.01326916087+0.002984815044j),(-0.01326916087+0.002984815044j)
1.75544,(-0.01326817088+0.002939644735j),(-0.01326817088+0.002939644735j)
1.75562,(-0.01326339226+0.002973483177j),(-0.01326339226+0.002973483177j)
1.7558,(-0.01338564418+0.00286430493j),(-0.01338564418+0.00286430493j)
1.75598,(-0.01328135468+0.002812064486j),(-0.01328135468+0.002812064486j)
1.75616,(-0.01342759188+0.002708820859j),(-0.01342759188+0.002708820859j)
1.75634,(-0.01332710497+0.002730648732j),(-0.01332710497+0.002730648732j)
1.75652,(-0.01338697039+0.002803477459j),(-0.01338697039+0.002803477459j)
1.7567,(-0.01343655307+0.002848453121j),(-0.01343655307+0.002848453121j)
1.75688,(-0.01346325967+0.002866979456j),(-0.01346325967+0.002866979456j)
1.75706,(-0.01339123212+0.002922181506j),(-0.01339123212+0.002922181506j)
1.75724,(-0.01345216483+0.002961444436j),(-0.01345216483+0.002961444436j)
1.75742,(-0.01341207325+0.002886313945j),(-0.01341207325+0.002886313945j)
1.7576,(-0.01341363229+0.002953880467j),(-0.01341363229+0.002953880467j)
1.75778,(-0.01334585156+0.002925203415j),(-0.01334585156+0.002925203415j)
1.75796,(-0.01341426+0.002962518251j),(-0.01341426+0.002962518251j)
1.75814,(-0.0133306263+0.002966718283j),(-0.0133306263+0.002966718283j)
1.75832,(-0.01338378806+0.002984557534j),(-0.01338378806+0.002984557534j)
1.7585,(-0.01335159875+0.003075682325j),(-0.01335159875+0.003075682325j)
1.75868,(-0.01330886316+0.002988567576j),(-0.01330886316+0.002988567576j)
1.75886,(-0.01333863661+0.002994586714j),(-0.01333863661+0.002994586714j)
